Fecha,TCR1
21/11/2008,7.75669,7.75669
22/11/2008,7.75669,7.75669
23/11/2008,7.75669,7.75669
24/11/2008,7.76141,7.76141
25/11/2008,7.73490,7.73490
26/11/2008,7.71519,7.71519
27/11/2008,7.70371,7.70371
28/11/2008,7.69008,7.69008
29/11/2008,7.69008,7.69008
30/11/2008,7.69008,7.69008
1/12/2008,7.67324,7.67324
2/12/2008,7.65707,7.65707
3/12/2008,7.65389,7.65389
4/12/2008,7.65787,7.65787
5/12/2008,7.70056,7.70056
6/12/2008,7.70056,7.70056
7/12/2008,7.70056,7.70056
8/12/2008,7.72203,7.72203
9/12/2008,7.70353,7.70353
10/12/2008,7.67808,7.67808
11/12/2008,7.66229,7.66229
12/12/2008,7.68625,7.68625
13/12/2008,7.68625,7.68625
14/12/2008,7.68625,7.68625
15/12/2008,7.69783,7.69783
16/12/2008,7.67326,7.67326
17/12/2008,7.66985,7.66985
18/12/2008,7.70724,7.70724
19/12/2008,7.70793,7.70793
20/12/2008,7.70793,7.70793
21/12/2008,7.70793,7.70793
22/12/2008,7.71407,7.71407
23/12/2008,7.72682,7.72682
24/12/2008,7.72719,7.72719
25/12/2008,7.72719,7.72719
26/12/2008,7.74015,7.74015
27/12/2008,7.74015,7.74015
28/12/2008,7.74015,7.74015
29/12/2008,7.78383,7.78383
30/12/2008,7.78228,7.78228
31/12/2008,7.78159,7.78159
1/1/2009,7.78159,7.78159
2/1/2009,7.78159,7.78159
3/1/2009,7.78159,7.78159
4/1/2009,7.78159,7.78159
5/1/2009,7.79412,7.79412
6/1/2009,7.81286,7.81286
7/1/2009,7.83792,7.83792
8/1/2009,7.87486,7.87486
9/1/2009,7.88259,7.88259
10/1/2009,7.88259,7.88259
11/1/2009,7.88259,7.88259
12/1/2009,7.88180,7.88180
13/1/2009,7.87737,7.87737
14/1/2009,7.85007,7.85007
15/1/2009,7.81833,7.81833
16/1/2009,7.79669,7.79669
17/1/2009,7.79669,7.79669
18/1/2009,7.79669,7.79669
